year,births
1954,54057
1955,55596
1956,56529
1957,58425
1958,60555
1959,61797
1960,62778
1961,65391
1962,65016
1963,64527
1964,62304
1965,60045
1966,60003
1967,61020
1968,62112
1969,62361
1970,62049
1971,64458
1972,63216
1973,60726
1974,59337
1975,56637
1976,55104
1977,54180
1978,51027
1979,52278
1980,50544
1981,50796
1982,49938
1983,50472
1984,51636
1985,51798
1986,52821
1987,55254
1988,57546
1989,58089
1990,60153
1991,60000
1992,59265
1993,58866
1994,57435
1995,57792
1996,57435
1997,57735
1998,55521
1999,57420
2000,56994
2001,56223
2002,54516
2003,56574
2004,58347
2005,57915
2006,59400
2007,64269
2008,64551
2009,62715
2010,64116
2011,61620
2012,61356
2013,58899
2014,57426
2015,61194
2016,59541
